#TAK ADSB IDs US NAVY
#Copyright 2021 Stefan Gofferje
#License: CC-BY-SA 4.0
#Format:
#"hexid","CoT type","registration","type","operator"

"adfd6d","a-f-A-M-F-U-M","900528","C-26D","USN"
"adfd6f","a-f-A-M-F-U-M","900530","C-26B","USN"
"adfd70","a-f-A-M-F-C-M","900531","C-26D","USN"
"adfd72","a-f-A-M-F-U-M","910502","C-26D","USN"
"adfda3","a-f-A-M-F-U-M","860456","C-26A","USN"
"ae010f","a-f-A-M-F-U-L","941569","C-38A","USN"
"ae01c0","a-f-A-M-F-U-L","165094","C-20G","USN"
"ae03c2","a-f-A-M-F-K","162308","KC-130T","USN"
"ae03cb","a-f-A-M-F-K","163311","KC-130T","USN"
"ae03cc","a-f-A-M-F-C-M","163591","C-130T","USN"
"ae03d5","a-f-A-M-F-C-M","164598","C-130T-30","USN"
"ae03db","a-f-A-M-F-K","165316","KC-130T","USN"
"ae03dc","a-f-A-M-F-K","165352","KC-130T","USN"
"ae03de","a-f-A-M-F-C-M","164762","C-130T","USN"
"ae03e0","a-f-A-M-F-C-M","164993","C-130T","USN"
"ae03e1","a-f-A-M-F-C-M","164994","C-130T","USN"
"ae03e3","a-f-A-M-F-C-M","164996","C-130T","USN"
"ae03e5","a-f-A-M-F-C-M","164998","C-130T","USN"
"ae03e6","a-f-A-M-F-C-M","165158","C-130T","USN"
"ae03e7","a-f-A-M-F-C-M","165159","C-130T","USN"
"ae03e8","a-f-A-M-F-C-M","165349","C-130T","USN"
"ae03e9","a-f-A-M-F-C-M","165161","C-130T","USN"
"ae03ea","a-f-A-M-F-C-M","165313","C-130T","USN"
"ae03eb","a-f-A-M-F-C-M","165314","C-130T","USN"
"ae03ed","a-f-A-M-F-C-M","165349","C-130T","USN"
"ae03f1","a-f-A-M-F-C-M","165379","C-130T","USN"
"ae040d","a-f-A-M-F-P","162782","E-6B","USN"
"ae0410","a-f-A-M-F-P","163918","E-6B","USN"
"ae0413","a-f-A-M-F-P","164386","E-6B","USN"
"ae0414","a-f-A-M-F-P","164387","E-6B","USN"
"ae041b","a-f-A-M-F-D","164409","E-6B","USN"
"ae0451","a-f-A-M-F-C-L","162157","C-2A","USN"
"ae0451","a-f-A-M-F-C-L","162157","C-2A","USN"
"ae045a","a-f-A-M-F-C-L","162140","C-2","US N"
